file,satisfiable,total_time,calls,unit_props,literal_choices,max_depth,backtracks,conflicts,heuristic_time
puzzle_500.cnf,SATISFIABLE,0.004124164581298828,66,64,1,65,0,0,0.0001989999999999978
puzzle_28.cnf,SATISFIABLE,0.004229068756103516,66,64,1,65,0,0,0.00017200000000000548
puzzle_266.cnf,SATISFIABLE,0.0036656856536865234,66,64,1,65,0,0,0.00015700000000000436
puzzle_272.cnf,SATISFIABLE,0.003445863723754883,66,64,1,65,0,0,0.00015700000000000436
puzzle_514.cnf,SATISFIABLE,0.0033500194549560547,66,64,1,65,0,0,0.00015700000000000436
puzzle_14.cnf,SATISFIABLE,0.003899097442626953,66,64,1,65,0,0,0.0002510000000000012
puzzle_528.cnf,SATISFIABLE,0.0038499832153320312,66,64,1,65,0,0,0.00014500000000000624
puzzle_299.cnf,SATISFIABLE,0.0031609535217285156,66,64,1,65,0,0,0.00014499999999999236
puzzle_702.cnf,SATISFIABLE,0.003088235855102539,66,64,1,65,0,0,0.0001290000000000041
puzzle_716.cnf,SATISFIABLE,0.0032613277435302734,66,64,1,65,0,0,0.00013499999999999623
puzzle_919.cnf,SATISFIABLE,0.003064870834350586,66,64,1,65,0,0,0.0001239999999999991
puzzle_925.cnf,SATISFIABLE,0.0029709339141845703,66,64,1,65,0,0,0.00011800000000000699
puzzle_931.cnf,SATISFIABLE,0.002905130386352539,66,64,1,65,0,0,0.0001229999999999981
puzzle_110.cnf,SATISFIABLE,0.0036470890045166016,66,64,1,65,0,0,0.00012899999999999023
puzzle_676.cnf,SATISFIABLE,0.003004789352416992,66,64,1,65,0,0,0.00012199999999999711
puzzle_662.cnf,SATISFIABLE,0.002877950668334961,66,64,1,65,0,0,0.00011800000000000699
puzzle_104.cnf,SATISFIABLE,0.002580881118774414,66,64,1,65,0,0,0.00011699999999999211
puzzle_892.cnf,SATISFIABLE,0.0027451515197753906,66,64,1,65,0,0,0.0001280000000000031
puzzle_5.cnf,SATISFIABLE,0.0026330947875976562,66,64,1,65,0,0,0.00010999999999999899
puzzle_886.cnf,SATISFIABLE,0.002808094024658203,66,64,1,65,0,0,0.00011200000000000099
puzzle_138.cnf,SATISFIABLE,0.0027399063110351562,66,64,1,65,0,0,0.00011200000000000099
puzzle_879.cnf,SATISFIABLE,0.0033452510833740234,66,64,1,65,0,0,0.0001270000000000021
puzzle_689.cnf,SATISFIABLE,0.002560853958129883,66,64,1,65,0,0,0.00011500000000000399
puzzle_851.cnf,SATISFIABLE,0.002627849578857422,66,64,1,65,0,0,0.00010799999999999699
puzzle_845.cnf,SATISFIABLE,0.0028569698333740234,66,64,1,65,0,0,0.00011400000000000299
puzzle_474.cnf,SATISFIABLE,0.002768993377685547,66,64,1,65,0,0,0.00010799999999999699
puzzle_312.cnf,SATISFIABLE,0.002627134323120117,66,64,1,65,0,0,0.00010799999999999699
puzzle_306.cnf,SATISFIABLE,0.0026350021362304688,66,64,1,65,0,0,0.00011600000000000499
puzzle_460.cnf,SATISFIABLE,0.003217935562133789,66,64,1,65,0,0,0.00010700000000002374
puzzle_448.cnf,SATISFIABLE,0.0027039051055908203,66,64,1,65,0,0,0.00011300000000000199
puzzle_449.cnf,SATISFIABLE,0.002669811248779297,66,64,1,65,0,0,0.00013399999999999523
puzzle_307.cnf,SATISFIABLE,0.0027780532836914062,66,64,1,65,0,0,0.00010899999999999799
puzzle_461.cnf,SATISFIABLE,0.0025548934936523438,66,64,1,65,0,0,0.00011500000000000399
puzzle_475.cnf,SATISFIABLE,0.0025968551635742188,66,64,1,65,0,0,0.00011300000000000199
puzzle_313.cnf,SATISFIABLE,0.0026428699493408203,66,64,1,65,0,0,0.00010999999999999899
puzzle_844.cnf,SATISFIABLE,0.0035779476165771484,66,64,1,65,0,0,0.00010699999999999599
puzzle_850.cnf,SATISFIABLE,0.0025787353515625,66,64,1,65,0,0,0.00011599999999997723
puzzle_688.cnf,SATISFIABLE,0.0027420520782470703,66,64,1,65,0,0,0.00010499999999999399
puzzle_878.cnf,SATISFIABLE,0.0026628971099853516,66,64,1,65,0,0,0.00010800000000002474
puzzle_887.cnf,SATISFIABLE,0.002763032913208008,66,64,1,65,0,0,0.00010899999999999799
puzzle_139.cnf,SATISFIABLE,0.002891063690185547,66,64,1,65,0,0,0.00011499999999997623
puzzle_4.cnf,SATISFIABLE,0.002588987350463867,66,64,1,65,0,0,0.00011600000000000499
puzzle_893.cnf,SATISFIABLE,0.0033380985260009766,66,64,1,65,0,0,0.00011400000000000299
puzzle_663.cnf,SATISFIABLE,0.0026650428771972656,66,64,1,65,0,0,0.00011400000000000299
puzzle_105.cnf,SATISFIABLE,0.002613067626953125,66,64,1,65,0,0,0.00011300000000000199
puzzle_111.cnf,SATISFIABLE,0.0029129981994628906,66,64,1,65,0,0,0.00010699999999999599
puzzle_677.cnf,SATISFIABLE,0.002643108367919922,66,64,1,65,0,0,0.00010899999999999799
puzzle_930.cnf,SATISFIABLE,0.002640247344970703,66,64,1,65,0,0,0.00011200000000000099
puzzle_924.cnf,SATISFIABLE,0.002660989761352539,66,64,1,65,0,0,0.00010899999999999799
puzzle_918.cnf,SATISFIABLE,0.0026979446411132812,66,64,1,65,0,0,0.00011300000000000199
puzzle_717.cnf,SATISFIABLE,0.0032341480255126953,66,64,1,65,0,0,0.00010899999999999799
puzzle_703.cnf,SATISFIABLE,0.002753019332885742,66,64,1,65,0,0,0.00012999999999999123
puzzle_298.cnf,SATISFIABLE,0.0026710033416748047,66,64,1,65,0,0,0.00010600000000002274
puzzle_529.cnf,SATISFIABLE,0.0026209354400634766,66,64,1,65,0,0,0.00011300000000000199
puzzle_15.cnf,SATISFIABLE,0.0025780200958251953,66,64,1,65,0,0,0.00011600000000000499
puzzle_273.cnf,SATISFIABLE,0.002554178237915039,66,64,1,65,0,0,0.00011400000000000299
puzzle_515.cnf,SATISFIABLE,0.0027887821197509766,66,64,1,65,0,0,0.000127000000000016
puzzle_501.cnf,SATISFIABLE,0.0032019615173339844,66,64,1,65,0,0,0.00011800000000000699
puzzle_267.cnf,SATISFIABLE,0.0025970935821533203,66,64,1,65,0,0,0.00011499999999997623
puzzle_29.cnf,SATISFIABLE,0.0026841163635253906,66,64,1,65,0,0,0.00011200000000000099
puzzle_517.cnf,SATISFIABLE,0.0026471614837646484,66,64,1,65,0,0,0.00011600000000000499
puzzle_271.cnf,SATISFIABLE,0.0028989315032958984,66,64,1,65,0,0,0.00011099999999999999
puzzle_265.cnf,SATISFIABLE,0.0027129650115966797,66,64,1,65,0,0,0.00012000000000000899
puzzle_503.cnf,SATISFIABLE,0.0026259422302246094,66,64,1,65,0,0,0.00011400000000000299
puzzle_259.cnf,SATISFIABLE,0.0034170150756835938,66,64,1,65,0,0,0.00010599999999999499
puzzle_17.cnf,SATISFIABLE,0.0027201175689697266,66,64,1,65,0,0,0.00011300000000000199
puzzle_715.cnf,SATISFIABLE,0.002782106399536133,66,64,1,65,0,0,0.00012199999999998323
puzzle_701.cnf,SATISFIABLE,0.00273895263671875,66,64,1,65,0,0,0.00010700000000002374
puzzle_729.cnf,SATISFIABLE,0.002790212631225586,66,64,1,65,0,0,0.00010699999999996823
puzzle_932.cnf,SATISFIABLE,0.002679109573364258,66,64,1,65,0,0,0.00011200000000000099
puzzle_926.cnf,SATISFIABLE,0.002621889114379883,66,64,1,65,0,0,0.00011699999999997823
puzzle_107.cnf,SATISFIABLE,0.0026679039001464844,66,64,1,65,0,0,0.00011299999999997423
puzzle_661.cnf,SATISFIABLE,0.0032989978790283203,66,64,1,65,0,0,0.00010799999999999699
puzzle_675.cnf,SATISFIABLE,0.0026493072509765625,66,64,1,65,0,0,0.00011400000000000299
puzzle_113.cnf,SATISFIABLE,0.002582073211669922,66,64,1,65,0,0,0.00012099999999998223
puzzle_885.cnf,SATISFIABLE,0.0026471614837646484,66,64,1,65,0,0,0.00011400000000000299
puzzle_891.cnf,SATISFIABLE,0.0027151107788085938,66,64,1,65,0,0,0.00010799999999999699
puzzle_649.cnf,SATISFIABLE,0.0027697086334228516,66,64,1,65,0,0,0.00012000000000000899
puzzle_6.cnf,SATISFIABLE,0.002644062042236328,66,64,1,65,0,0,0.00011300000000002974
puzzle_846.cnf,SATISFIABLE,0.003278970718383789,66,64,1,65,0,0,0.00011300000000002974
puzzle_852.cnf,SATISFIABLE,0.0026209354400634766,66,64,1,65,0,0,0.00011499999999997623
puzzle_463.cnf,SATISFIABLE,0.0026369094848632812,66,64,1,65,0,0,0.00011699999999997823
puzzle_305.cnf,SATISFIABLE,0.0027832984924316406,66,64,1,65,0,0,0.00011499999999997623
puzzle_311.cnf,SATISFIABLE,0.0026459693908691406,66,64,1,65,0,0,0.00011600000000000499
puzzle_477.cnf,SATISFIABLE,0.002749919891357422,66,64,1,65,0,0,0.00011200000000000099
puzzle_339.cnf,SATISFIABLE,0.002671957015991211,66,64,1,65,0,0,0.00010699999999996823
puzzle_488.cnf,SATISFIABLE,0.0034139156341552734,66,64,1,65,0,0,0.00010500000000002174
puzzle_489.cnf,SATISFIABLE,0.0028839111328125,66,64,1,65,0,0,0.00010599999999999499
puzzle_338.cnf,SATISFIABLE,0.002701997756958008,66,64,1,65,0,0,0.00010499999999996623
