file,satisfiable,total_time,calls,unit_props,literal_choices,max_depth,backtracks,conflicts,heuristic_time
puzzle_271.cnf,SATISFIABLE,0.0026760101318359375,66,64,1,65,0,0,0.00012199999999998323
puzzle_265.cnf,SATISFIABLE,0.0028307437896728516,66,64,1,65,0,0,0.00012799999999998923
puzzle_503.cnf,SATISFIABLE,0.0027420520782470703,66,64,1,65,0,0,0.00012599999999998723
puzzle_259.cnf,SATISFIABLE,0.0032978057861328125,66,64,1,65,0,0,0.00011700000000000599
puzzle_17.cnf,SATISFIABLE,0.0026731491088867188,66,64,1,65,0,0,0.000125000000000014
puzzle_715.cnf,SATISFIABLE,0.00257110595703125,66,64,1,65,0,0,0.00013199999999999323
puzzle_701.cnf,SATISFIABLE,0.0028650760650634766,66,64,1,65,0,0,0.00012699999999998823
puzzle_729.cnf,SATISFIABLE,0.0027289390563964844,66,64,1,65,0,0,0.00011600000000000499
puzzle_932.cnf,SATISFIABLE,0.0026481151580810547,66,64,1,65,0,0,0.00012100000000000999
puzzle_926.cnf,SATISFIABLE,0.002529144287109375,66,64,1,65,0,0,0.00012499999999998623
puzzle_107.cnf,SATISFIABLE,0.002593994140625,66,64,1,65,0,0,0.00012300000000003974
puzzle_661.cnf,SATISFIABLE,0.003145933151245117,66,64,1,65,0,0,0.00011300000000002974
puzzle_675.cnf,SATISFIABLE,0.0027430057525634766,66,64,1,65,0,0,0.00014799999999998148
puzzle_113.cnf,SATISFIABLE,0.0025510787963867188,66,64,1,65,0,0,0.00012499999999998623
puzzle_885.cnf,SATISFIABLE,0.002593994140625,66,64,1,65,0,0,0.000124000000000013
puzzle_891.cnf,SATISFIABLE,0.0026960372924804688,66,64,1,65,0,0,0.00011699999999997823
puzzle_649.cnf,SATISFIABLE,0.0026438236236572266,66,64,1,65,0,0,0.00011499999999997623
puzzle_6.cnf,SATISFIABLE,0.0027959346771240234,66,64,1,65,0,0,0.00012299999999998423
puzzle_846.cnf,SATISFIABLE,0.0032219886779785156,66,64,1,65,0,0,0.000126000000000015
puzzle_852.cnf,SATISFIABLE,0.002624988555908203,66,64,1,65,0,0,0.00012299999999998423
puzzle_463.cnf,SATISFIABLE,0.0027189254760742188,66,64,1,65,0,0,0.00012299999999998423
puzzle_305.cnf,SATISFIABLE,0.0026111602783203125,66,64,1,65,0,0,0.000126000000000015
puzzle_311.cnf,SATISFIABLE,0.0027170181274414062,66,64,1,65,0,0,0.000124000000000013
puzzle_477.cnf,SATISFIABLE,0.0029697418212890625,66,64,1,65,0,0,0.00013499999999999623
puzzle_339.cnf,SATISFIABLE,0.0027120113372802734,66,64,1,65,0,0,0.00011800000000000699
puzzle_488.cnf,SATISFIABLE,0.003353118896484375,66,64,1,65,0,0,0.00011499999999997623
puzzle_489.cnf,SATISFIABLE,0.0027048587799072266,66,64,1,65,0,0,0.00011699999999997823
puzzle_338.cnf,SATISFIABLE,0.002730846405029297,66,64,1,65,0,0,0.00011400000000000299
puzzle_310.cnf,SATISFIABLE,0.0028159618377685547,66,64,1,65,0,0,0.00015300000000001424
puzzle_476.cnf,SATISFIABLE,0.0026612281799316406,66,64,1,65,0,0,0.000132000000000021
puzzle_462.cnf,SATISFIABLE,0.0026590824127197266,66,64,1,65,0,0,0.00012499999999998623
puzzle_304.cnf,SATISFIABLE,0.0025742053985595703,66,64,1,65,0,0,0.00013299999999999423
puzzle_853.cnf,SATISFIABLE,0.0026428699493408203,66,64,1,65,0,0,0.00012499999999998623
puzzle_847.cnf,SATISFIABLE,0.003365039825439453,66,64,1,65,0,0,0.00011699999999997823
puzzle_7.cnf,SATISFIABLE,0.0027129650115966797,66,64,1,65,0,0,0.00012899999999999023
puzzle_648.cnf,SATISFIABLE,0.0026750564575195312,66,64,1,65,0,0,0.00012500000000004174
puzzle_890.cnf,SATISFIABLE,0.0027229785919189453,66,64,1,65,0,0,0.00011699999999997823
puzzle_884.cnf,SATISFIABLE,0.002640962600708008,66,64,1,65,0,0,0.00011600000000000499
puzzle_674.cnf,SATISFIABLE,0.0030050277709960938,66,64,1,65,0,0,0.000134000000000023
puzzle_112.cnf,SATISFIABLE,0.002583026885986328,66,64,1,65,0,0,0.000124000000000013
puzzle_106.cnf,SATISFIABLE,0.0031707286834716797,66,64,1,65,0,0,0.00012299999999998423
puzzle_660.cnf,SATISFIABLE,0.0026862621307373047,66,64,1,65,0,0,0.00011699999999997823
puzzle_927.cnf,SATISFIABLE,0.0026388168334960938,66,64,1,65,0,0,0.00012499999999998623
puzzle_933.cnf,SATISFIABLE,0.0025908946990966797,66,64,1,65,0,0,0.000128000000000017
puzzle_728.cnf,SATISFIABLE,0.0027840137481689453,66,64,1,65,0,0,0.00011800000000000699
puzzle_700.cnf,SATISFIABLE,0.0025360584259033203,66,64,1,65,0,0,0.000124000000000013
puzzle_714.cnf,SATISFIABLE,0.0026726722717285156,66,64,1,65,0,0,0.00011499999999997623
puzzle_16.cnf,SATISFIABLE,0.003271818161010742,66,64,1,65,0,0,0.00011499999999997623
puzzle_258.cnf,SATISFIABLE,0.0028569698333740234,66,64,1,65,0,0,0.00011500000000003174
puzzle_264.cnf,SATISFIABLE,0.0026900768280029297,66,64,1,65,0,0,0.00013799999999997148
puzzle_502.cnf,SATISFIABLE,0.0027840137481689453,66,64,1,65,0,0,0.00011499999999997623
puzzle_516.cnf,SATISFIABLE,0.0026121139526367188,66,64,1,65,0,0,0.00012399999999995748
puzzle_270.cnf,SATISFIABLE,0.002832174301147461,66,64,1,65,0,0,0.00011499999999997623
puzzle_248.cnf,SATISFIABLE,0.002580881118774414,66,64,1,65,0,0,0.00011600000000000499
puzzle_12.cnf,SATISFIABLE,0.0037009716033935547,66,64,1,65,0,0,0.00012699999999998823
puzzle_274.cnf,SATISFIABLE,0.0025458335876464844,66,64,1,65,0,0,0.00012699999999998823
puzzle_512.cnf,SATISFIABLE,0.0027070045471191406,66,64,1,65,0,0,0.00011800000000000699
puzzle_506.cnf,SATISFIABLE,0.002660036087036133,66,64,1,65,0,0,0.00011400000000000299
