file,satisfiable,total_time,calls,unit_props,literal_choices,max_depth,backtracks,conflicts,heuristic_time
puzzle_500.cnf,SATISFIABLE,0.004312038421630859,66,64,1,65,0,0,0.0004200000000000037
puzzle_28.cnf,SATISFIABLE,0.00424504280090332,66,64,1,65,0,0,0.00035099999999999715
puzzle_266.cnf,SATISFIABLE,0.003786802291870117,66,64,1,65,0,0,0.0003480000000000011
puzzle_272.cnf,SATISFIABLE,0.003664255142211914,66,64,1,65,0,0,0.000336999999999997
puzzle_514.cnf,SATISFIABLE,0.0034651756286621094,66,64,1,65,0,0,0.00033299999999999996
puzzle_14.cnf,SATISFIABLE,0.0036249160766601562,66,64,1,65,0,0,0.0003049999999999997
puzzle_528.cnf,SATISFIABLE,0.00393223762512207,66,64,1,65,0,0,0.00031899999999999984
puzzle_299.cnf,SATISFIABLE,0.003343820571899414,66,64,1,65,0,0,0.0002950000000000036
puzzle_702.cnf,SATISFIABLE,0.0031881332397460938,66,64,1,65,0,0,0.00027100000000000735
puzzle_716.cnf,SATISFIABLE,0.003092050552368164,66,64,1,65,0,0,0.0002859999999999946
puzzle_919.cnf,SATISFIABLE,0.003326892852783203,66,64,1,65,0,0,0.00026500000000000135
puzzle_925.cnf,SATISFIABLE,0.0030601024627685547,66,64,1,65,0,0,0.00027099999999999347
puzzle_931.cnf,SATISFIABLE,0.0029692649841308594,66,64,1,65,0,0,0.0002520000000000022
puzzle_110.cnf,SATISFIABLE,0.003721952438354492,66,64,1,65,0,0,0.00026700000000000335
puzzle_676.cnf,SATISFIABLE,0.002985239028930664,66,64,1,65,0,0,0.00026199999999999835
puzzle_662.cnf,SATISFIABLE,0.003325939178466797,66,64,1,65,0,0,0.00027399999999999647
puzzle_104.cnf,SATISFIABLE,0.002755880355834961,66,64,1,65,0,0,0.0002620000000000122
puzzle_892.cnf,SATISFIABLE,0.0028090476989746094,66,64,1,65,0,0,0.0002550000000000052
puzzle_5.cnf,SATISFIABLE,0.002701997756958008,66,64,1,65,0,0,0.0002410000000000051
puzzle_886.cnf,SATISFIABLE,0.0026710033416748047,66,64,1,65,0,0,0.0002450000000000091
puzzle_138.cnf,SATISFIABLE,0.0030050277709960938,66,64,1,65,0,0,0.00028000000000000247
puzzle_879.cnf,SATISFIABLE,0.0033059120178222656,66,64,1,65,0,0,0.00023899999999998922
puzzle_689.cnf,SATISFIABLE,0.002705812454223633,66,64,1,65,0,0,0.0002510000000000012
puzzle_851.cnf,SATISFIABLE,0.002819061279296875,66,64,1,65,0,0,0.0002469999999999972
puzzle_845.cnf,SATISFIABLE,0.002707958221435547,66,64,1,65,0,0,0.00025299999999998934
puzzle_474.cnf,SATISFIABLE,0.0031731128692626953,66,64,1,65,0,0,0.0002339999999999981
puzzle_312.cnf,SATISFIABLE,0.002778768539428711,66,64,1,65,0,0,0.00023500000000001298
puzzle_306.cnf,SATISFIABLE,0.002666950225830078,66,64,1,65,0,0,0.0002489999999999992
puzzle_460.cnf,SATISFIABLE,0.003361940383911133,66,64,1,65,0,0,0.00022700000000000498
puzzle_448.cnf,SATISFIABLE,0.0026018619537353516,66,64,1,65,0,0,0.0002489999999999992
puzzle_449.cnf,SATISFIABLE,0.0030541419982910156,66,64,1,65,0,0,0.0002479999999999982
puzzle_307.cnf,SATISFIABLE,0.002706766128540039,66,64,1,65,0,0,0.0002489999999999992
puzzle_461.cnf,SATISFIABLE,0.002836942672729492,66,64,1,65,0,0,0.0002479999999999982
puzzle_475.cnf,SATISFIABLE,0.002663850784301758,66,64,1,65,0,0,0.0002580000000000082
puzzle_313.cnf,SATISFIABLE,0.0028688907623291016,66,64,1,65,0,0,0.00023799999999998822
puzzle_844.cnf,SATISFIABLE,0.003264904022216797,66,64,1,65,0,0,0.00023300000000001098
puzzle_850.cnf,SATISFIABLE,0.0030260086059570312,66,64,1,65,0,0,0.0003019999999999967
puzzle_688.cnf,SATISFIABLE,0.0027608871459960938,66,64,1,65,0,0,0.00023299999999998322
puzzle_878.cnf,SATISFIABLE,0.0028421878814697266,66,64,1,65,0,0,0.00023199999999998222
puzzle_887.cnf,SATISFIABLE,0.0027539730072021484,66,64,1,65,0,0,0.00023899999999998922
puzzle_139.cnf,SATISFIABLE,0.0028438568115234375,66,64,1,65,0,0,0.0002459999999999962
puzzle_4.cnf,SATISFIABLE,0.002836942672729492,66,64,1,65,0,0,0.0002590000000000092
puzzle_893.cnf,SATISFIABLE,0.0035219192504882812,66,64,1,65,0,0,0.0002510000000000012
puzzle_663.cnf,SATISFIABLE,0.0027251243591308594,66,64,1,65,0,0,0.0002660000000000162
puzzle_105.cnf,SATISFIABLE,0.0029468536376953125,66,64,1,65,0,0,0.0002520000000000022
puzzle_111.cnf,SATISFIABLE,0.0026962757110595703,66,64,1,65,0,0,0.00023500000000001298
puzzle_677.cnf,SATISFIABLE,0.003034830093383789,66,64,1,65,0,0,0.00023299999999998322
puzzle_930.cnf,SATISFIABLE,0.002689838409423828,66,64,1,65,0,0,0.0002540000000000042
puzzle_924.cnf,SATISFIABLE,0.0027930736541748047,66,64,1,65,0,0,0.00023799999999998822
puzzle_918.cnf,SATISFIABLE,0.0026979446411132812,66,64,1,65,0,0,0.0002510000000000012
puzzle_717.cnf,SATISFIABLE,0.0033860206604003906,66,64,1,65,0,0,0.00023500000000001298
puzzle_703.cnf,SATISFIABLE,0.0027000904083251953,66,64,1,65,0,0,0.00025899999999998147
puzzle_298.cnf,SATISFIABLE,0.0029959678649902344,66,64,1,65,0,0,0.00029500000000001747
puzzle_529.cnf,SATISFIABLE,0.002610921859741211,66,64,1,65,0,0,0.0002479999999999982
puzzle_15.cnf,SATISFIABLE,0.0027141571044921875,66,64,1,65,0,0,0.0002510000000000012
puzzle_273.cnf,SATISFIABLE,0.0026559829711914062,66,64,1,65,0,0,0.000247000000000025
puzzle_515.cnf,SATISFIABLE,0.0028128623962402344,66,64,1,65,0,0,0.00025999999999998247
puzzle_501.cnf,SATISFIABLE,0.0035071372985839844,66,64,1,65,0,0,0.0002469999999999972
puzzle_267.cnf,SATISFIABLE,0.0027532577514648438,66,64,1,65,0,0,0.0002530000000000032
puzzle_29.cnf,SATISFIABLE,0.0027840137481689453,66,64,1,65,0,0,0.0002500000000000002
puzzle_517.cnf,SATISFIABLE,0.0027430057525634766,66,64,1,65,0,0,0.0002530000000000032
puzzle_271.cnf,SATISFIABLE,0.002702951431274414,66,64,1,65,0,0,0.00024400000000002198
puzzle_265.cnf,SATISFIABLE,0.002851724624633789,66,64,1,65,0,0,0.0002500000000000002
puzzle_503.cnf,SATISFIABLE,0.0028328895568847656,66,64,1,65,0,0,0.00025499999999997747
puzzle_259.cnf,SATISFIABLE,0.003386259078979492,66,64,1,65,0,0,0.00023499999999998522
puzzle_17.cnf,SATISFIABLE,0.0028150081634521484,66,64,1,65,0,0,0.0002489999999999992
puzzle_715.cnf,SATISFIABLE,0.002708911895751953,66,64,1,65,0,0,0.0002469999999999972
puzzle_701.cnf,SATISFIABLE,0.0029032230377197266,66,64,1,65,0,0,0.00023600000000001398
puzzle_729.cnf,SATISFIABLE,0.0028748512268066406,66,64,1,65,0,0,0.00023699999999998722
puzzle_932.cnf,SATISFIABLE,0.0027370452880859375,66,64,1,65,0,0,0.000246000000000024
puzzle_926.cnf,SATISFIABLE,0.002714872360229492,66,64,1,65,0,0,0.00025199999999997447
puzzle_107.cnf,SATISFIABLE,0.002721071243286133,66,64,1,65,0,0,0.000248000000000026
puzzle_661.cnf,SATISFIABLE,0.003309011459350586,66,64,1,65,0,0,0.00023000000000000798
puzzle_675.cnf,SATISFIABLE,0.002964019775390625,66,64,1,65,0,0,0.00024799999999997047
puzzle_113.cnf,SATISFIABLE,0.002789020538330078,66,64,1,65,0,0,0.0002570000000000072
