file,satisfiable,total_time,calls,unit_props,literal_choices,max_depth,backtracks,conflicts,heuristic_time
puzzle_500.cnf,SATISFIABLE,0.011439800262451172,233,76,84,64,96,72,5.8999999999989616e-05
puzzle_28.cnf,SATISFIABLE,0.008038759231567383,203,68,72,65,76,62,4.599999999999743e-05
puzzle_266.cnf,SATISFIABLE,0.006021022796630859,161,54,58,65,48,48,2.8000000000014125e-05
puzzle_272.cnf,SATISFIABLE,0.007413148880004883,209,68,76,65,80,64,5.0999999999988554e-05
puzzle_514.cnf,SATISFIABLE,0.007772207260131836,200,65,73,65,74,61,3.400000000000625e-05
puzzle_14.cnf,SATISFIABLE,0.008134126663208008,266,87,95,65,118,83,4.200000000000037e-05
puzzle_528.cnf,SATISFIABLE,0.005190134048461914,161,52,60,65,48,48,2.2999999999995246e-05
puzzle_299.cnf,SATISFIABLE,0.010083913803100586,350,115,123,65,174,111,5.100000000002325e-05
puzzle_702.cnf,SATISFIABLE,0.004976034164428711,161,54,58,65,48,48,2.3000000000009124e-05
puzzle_716.cnf,SATISFIABLE,0.010979890823364258,278,91,99,65,126,87,5.900000000001737e-05
puzzle_919.cnf,SATISFIABLE,0.004972219467163086,161,54,58,64,48,48,2.9000000000029003e-05
puzzle_925.cnf,SATISFIABLE,0.005481243133544922,161,54,58,64,48,48,3.700000000000925e-05
puzzle_931.cnf,SATISFIABLE,0.004977226257324219,161,54,58,65,48,48,2.899999999997349e-05
puzzle_110.cnf,SATISFIABLE,0.005944967269897461,176,57,65,65,58,53,3.0999999999947736e-05
puzzle_676.cnf,SATISFIABLE,0.0060389041900634766,161,54,58,65,48,48,2.6000000000026002e-05
puzzle_662.cnf,SATISFIABLE,0.005070924758911133,161,54,58,65,48,48,2.199999999996649e-05
puzzle_104.cnf,SATISFIABLE,0.00504302978515625,161,52,60,65,48,48,2.1999999999994246e-05
puzzle_892.cnf,SATISFIABLE,0.007830142974853516,242,79,87,64,102,75,4.099999999992998e-05
puzzle_5.cnf,SATISFIABLE,0.00511622428894043,161,54,58,65,48,48,2.3000000000023002e-05
puzzle_886.cnf,SATISFIABLE,0.0053141117095947266,161,52,60,65,48,48,3.099999999997549e-05
puzzle_138.cnf,SATISFIABLE,0.006338596343994141,176,59,63,65,58,53,2.3000000000023002e-05
puzzle_879.cnf,SATISFIABLE,0.005050182342529297,161,54,58,65,48,48,2.7000000000027002e-05
puzzle_689.cnf,SATISFIABLE,0.008722782135009766,260,85,93,65,114,81,4.2000000000042004e-05
puzzle_851.cnf,SATISFIABLE,0.0050160884857177734,161,54,58,65,48,48,2.6000000000026002e-05
puzzle_845.cnf,SATISFIABLE,0.00586700439453125,188,61,69,65,66,57,2.8999999999945736e-05
puzzle_474.cnf,SATISFIABLE,0.005735158920288086,161,54,58,64,48,48,2.5000000000025002e-05
puzzle_312.cnf,SATISFIABLE,0.006443023681640625,200,67,71,64,74,61,2.6999999999943736e-05
puzzle_306.cnf,SATISFIABLE,0.006089925765991211,191,62,70,65,68,58,3.400000000000625e-05
puzzle_460.cnf,SATISFIABLE,0.005738019943237305,191,64,68,65,68,58,3.0000000000002247e-05
puzzle_448.cnf,SATISFIABLE,0.008165836334228516,248,81,89,65,106,77,4.3000000000043004e-05
puzzle_449.cnf,SATISFIABLE,0.007990121841430664,248,81,89,65,106,77,3.300000000000525e-05
puzzle_307.cnf,SATISFIABLE,0.008592844009399414,245,82,86,65,104,76,3.8000000000038e-05
